id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18491600,Georgia O'Keeffe Studio,108053175,Andy,Queen Anne,East Queen Anne,47.63638989322811,-122.35390975385437,Entire home/apt,85,3,105,2018-10-28,6.52,2,60
18491674,The Frida Kahlo Apartment,108053175,Andy,Queen Anne,East Queen Anne,47.63706097499885,-122.35255445985317,Entire home/apt,120,3,107,2018-11-11,6.74,2,56
18491733,Wallingford Studio,116124281,Jamie,Other neighborhoods,Wallingford,47.668888112850404,-122.32424231422237,Entire home/apt,110,1,70,2018-09-20,3.76,1,0
18492245,Ballard Cottage Close to Everything!,128313862,Victoria,Ballard,Adams,47.670791149126245,-122.38338456281414,Entire home/apt,110,2,84,2018-11-04,4.57,3,159
18497873,1 Bed Tranquil Queen Anne Oasis min to everything,5308727,John,Queen Anne,North Queen Anne,47.64659951999526,-122.37286303704774,Entire home/apt,150,2,8,2017-07-23,0.45,2,156
18502882,Modern Private Room- Close to Lake WA & Downtown!,7168367,Jennifer,Rainier Valley,Mount Baker,47.56616785917989,-122.28667389071737,Private room,150,1,42,2018-10-28,2.72,1,65
18503785,"Spacious, Beautiful 5BR sleeps 4 to 18+",128414176,Joe,Other neighborhoods,Crown Hill,47.69113395479735,-122.3716465182449,Entire home/apt,550,1,64,2018-11-04,3.48,1,342
18504166,Private Secluded One Bedroom Apartment w/fireplace,24953861,Mercy,West Seattle,Gatewood,47.53896215664828,-122.39419424239168,Private room,79,2,0,,,1,89
18504533,*Relaxing charm in the Great  Northwest*,117993648,Lisa,Magnolia,Lawton Park,47.66329994793443,-122.40029063439945,Entire home/apt,50,2,94,2018-11-04,5.13,1,58
18506310,Laurelhurst Garden Studio Apartment,6203956,Angela,Other neighborhoods,Laurelhurst,47.66126368345922,-122.28126284615124,Entire home/apt,93,7,17,2017-10-05,0.95,1,0
18507335,Cozy room by the Volunteer Park,39829081,Tomato House,Capitol Hill,Broadway,47.628522168548145,-122.31899507011293,Private room,78,1,81,2018-09-16,4.39,2,89
18507422,SEATTLE - 2Bedroom  2Bath - FREE PARKING!!!,6746292,Suzie,Queen Anne,West Queen Anne,47.63824659044145,-122.36740294085786,Entire home/apt,179,1,79,2018-10-27,5.04,7,342
18508437,Newly built loft in friendly neighborhood,35796364,Michiko,Central Area,Madrona,47.61173232464879,-122.28889554207345,Entire home/apt,100,2,50,2018-10-06,2.84,1,69
18508910,2 Bedroom Suite in Northeast Seattle,41118081,Dale,Other neighborhoods,Wedgwood,47.692199480345145,-122.29374769097956,Private room,65,2,63,2018-11-05,3.51,1,171
